content_names,content_dates,content_hits,content_coms
0,2017-06-01 08:53:16,15,"ㅡ이나연님 제보ㅡ

6월 1일 목요일 오늘부터 내일(2일 금요일)까지 호천관 1층 전시장에서 '컴퓨터소프트웨어과 졸업작품전시회' 합니다~
학생분들 많이 놀러와주세요??오늘 오후2시에 개회식입니다!! :] 서동익박승수박민경김영호손효석강범용허지원이현정차민석안연희원우희원김태완이진경최현서정은석지원서현우이동수임정현 현수류주형얘드라 보러와?? :] 저는요...?? :] 현수 헤 :] 김동훈 ??? :] 알겠어 태그바꾸께ㅠㅠ :] 정말바쁠때하네 ㅎ... :] 이사무엘 수고 하셨습니다 :] 손석현 몇시까지하냐? :] 한 7시반정도까지는 하지 않을까 :] 오늘간다 :] ㅇㅋ :] 그래도 한시름 덜었네 너 ㅋㅋㅋ :] ㅇㅇ 그칭 ㅋㅋㅋ :] ㅋㅋㅋ 하지만 앞으로가 더 빡셀것이다 ㅋㅋㅋ :] ㅋㅋㅋㅋㅋㅋㅋ :] 그건 내가 장담하지!!ㅋㅋㅋ :] 그켬 :] 곧 너도 스트레스때문에 위염걸리는일이 많아질것이다 !! :] 이새키 ㅋㅋㅋㅋ 저주하냨ㅋㅋㅋ :] 노놉 ㅋㅋㅋ 진실을 알려주는거임 :] 이건희 내일도 있당 ㅋㅋㅋㅋㅋ 고마워 건희야"
1,2017-06-01 08:31:59,6,"ㅡ익명제보ㅡ

카페먼스 텀블러 이쁘네용~~!? :] 하태윤 사줘 :] 응 아니야"
2,2017-05-31 21:34:23,15,"ㅡ익명제보ㅡ

아니 전공심화 4학년인데.. 작년까지 전공심화는 절대평가였는데요.. 올해 상대평가로 바뀌었어요.

근데 13명이서 어떻게 상대평가를 해요.. 
13명중에 4명 a 4명 b 나머지는 cd에요.. 이게 말이 안되잖아요..

0.1점 차이로 상대평가를 하는거 자체가 잘못된거아닌가요..

그냥 저희한테 통보식으로 갑자기 상대평가로 바뀌었다고하면 저희는 막학년에 상대평가라니요.. 다같이 에이정도로 노력했는데 13명이서 ㅋㅋ 그걸 나눠가지라는게 말이 되나요

어디다 연락해야되나요.. :] 변종원 우리과도 상대평가?? :] ㅇㅇ 상대평가 작년까지 절대였는ㄷ 이번에 상대평가래 :] 근데 지각을해요~?!! :] 근데 지각을해요~?!! :] 근데 지각을해요~?!! :] 근데 지각을해요~?! :] 개노답학교 :] 무한 경쟁을 부추기는 학교.. 어휴"
3,2017-05-31 21:33:12,1,"ㅡ정태님 제보ㅡ

8시쯤 1213버스에서 지갑 주웠어요 종암경찰서에 맡길테니 찾아가세요~! :] 지갑 찾았구요 너무 감사해서 사례를 하고 싶은데 페메 주세요ㅠㅠ"
4,2017-05-31 18:23:54,11,"ㅡ익명제보ㅡ

오늘 맘스터치에서 치킨 먹었는데 치킨에서 머리카락 나왔어요.. 주방내에서 머리관리가 필요하다고 생각합니다! 맘스터치 맛있는데 앞으로 위생적인 면에서 조금만 신경써주셨으면 좋겠어요ㅎㅎ :] ㅉㅉ :] 유진 :] ???????? :] 원래 자리에서 말씀해주시면 다시 해드리는데 일단 조심하지못한점 정말 죄송합니다 직원모두 유니폼 앞치마 모자착용하고있는데도 이런일이.. 죄송합니다 앞으로 더 신경쓰도록 하겠습니다 기분이 많이 상하셨을텐데 정말 죄송합니다 ㅠㅠㅠㅠ ㅠ :] 앞으로더신경쓰겠습니다ㅠㅠ :] 너무착해용ㅜㅜ 꺅 :] 저는 맘스터치서일대점에서 머리카락털로 절대 보이지않는 두껍고 꼬불꼬불한 머리카락 나왔어요 ㅎㅎ 말해서 바꾸긴했는데 누가봐도 머리카락은아니었어요 ㅋㅋ ㅋㅋㅋㅋ 이가을 송이 :] ㅋㅋㅋㅋㅋㅋ에이 기대했는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ :] 꼬 추 털 이었어요  아니면 겨털 :] ㅋ ㅋ ㅋ ㅋ됏니 ? :] ㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋ아 씨 :] ㅋㅋㅋㅋㅋㅋ시발ㅋㅋㅋㅋㅋ :] 사진찍어놨어야되는데 ,, 당황해서 못찍음 :] 그럴만한 크기고 두게였어ㅋㅋㅋㅋ 개웃겨 아,,, 진심 배아파 :] 인정한다"
5,2017-05-31 18:00:39,30,"ㅡ짱구포차 제보ㅡ

짱구포차요리나라 세트메뉴
짱구포차요리나라
세트메뉴출시!!

●간단히 즐길수있는
저가저격세트메뉴

1. 케이준샐러드(14)+생맥주2잔(6)
   18,000원
2.  이태원감자전(12)+소맥(12)(소주1병맥주2)
   20,000원
3. 꼬치오뎅탕(11)+소맥(12)(소주1병맥주2)
   20,000원
4. 차돌떡볶이(15)+소주2or병맥주2(8)
   20,000원
5. 모듬튀김(14)+소맥(12)(소주1병맥주2)
   22,000원

●치킨을 좋아하는 서일대생
후라이드(14)+후라이드(14)두마리!!
25,000원!!

●술을 좋아하는 너희를 위해 
단품소맥세트!!
모든안주에
1.소맥세트(12)(소주1병맥주2)
   10,000원(소주3병도 가능)
2.소맥세트2(19)(소주2생맥주2000cc)
   16,000원

●단체를위한 할인tip
-안주 두개주문시 2천원할인
-안주 세개주문시 3천원할인

홍합탕은 퇴사하고 새롭게 출근하는
새친구 칼칼한 '꼬치오뎅탕'

#꼬치오뎅탕 #11,000원 #신메뉴
#짱구포차 #서일대 #짱구포차만세 :] 김태준 여기다 :] 김종근 송현효백지현 다들 술 고?ㅋㅋㅋ :] 종범 김광현 이현아 각 :] 케이준셀러드 :] ㄱㄱ :] 김지훈문지원유문정이동건허지영 얘들아 술 ㄱ하자 :] 스무스 하네 :] 가여ㅕ ㄱ! :] 고고 :] 어머 집가는중인데... :] 오늘???? :] ㄴㄴ 오늘말고 :] 옹 고고 :] 임지연 :] ㅋㅋㅋ조만간에 각 언제갈까 ㅋㅋㅋ :] 담주 금 어떰 :] 콜입니다 :] 궈? :] 앙기모띠 :] 이주창 박수연 :] 김미지김유진송지혜 :] 강지유 ㄱㄱㄱㄱㄱ :] 최현규 가야할 두번째이유가 생김 :] 박소향김소영박한범 이경미최승아우리 요새 소원했다 짱구에 :] 고거인정..갑시다 :] ㅋㅋㅋㅋㅋ고 :] 송미서송현지모현진새퀴더라 :] 이거가야하는부분이다 :] 현아 표형우 권길환 인효근 김경민 김유림 이민우 신요섭 윤석환 서희망 이현희 김지원 고연수 장재영 김찬영 이승현 김단비 황예은 우와 이런 착한 가격이??! 짱구포차 알바생도 유쾌하다는데 확인해보도록하자!! :] 제발 와주세요-짱구포차 알바생 :] ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ :] 주말알바임? :] 평일임 ㅋ :] 네네~ :] ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ민종개귀여워ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ :] 갑시다 :] 내일 ㄱ? :] 개죠아 :] 우왕~.~ :] ㅗ :] ㄹㅇ너무했다 :] 하준석? .? :] 각이다 :] 가요갑시다 :] 키 :] 모 :] 띠 :] ㅜ와 태그를 저렇게나!!  할일도 드릅게 없나부다!! 귀여운 아기고양이~ :] 김유림 아더러워 차단 :] 귀여워 민종스 덕질하러 가야지~ :] 용휘이거 너 아니야?? :] 가면 민종이가 쏜다니까 마음껏 드세요 :] 미친놈아 :] 믿거 고민종아니냐? :] 윤석환 햄...의상과 가오좀 살려줘여 ㅡㅡ :] 많대? :] 내가 곧 의상과니까 필요없어! :] 알쓰는 빠질게 :] 고마워 내줘서 민종아 :] 아 술땡기네 :] 승렬이 한잔해야지ㅋㅋ :] 스바것 취할때까지간다 :] 기모띠? :] kimotti :] 금모띠 :] 꽈악 :] 얏바리유뎡금모띠..!! :] 크와아ㅏ아아아아아아아아ㅏㅇ~~ :] 아노..아도...겐! :] 일보노..! 보노보노는 일본거야 일보노니까 :]  :] ㄹㅇ아무말대잔치 :] 언제갈꼰데 :] 송민경 송다혜 송예지 유경 장혜주 다시한번 .. :] 어머나 ! :] 깨부시자 :] 이현주 우주희 소맥세트2 먹으러가면 되눈 부분 :] 박세리홍합탕 사라짐 ㅠㅠ :] 윤현정 지영 이혜수 이다경 면목으로한번와 얘들아 :] 사주꼬야? :] 윤현정 음.. 생각좀 ! ? :]  :] 사주면갈게ㅎ :] ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
6,2017-05-31 17:42:58,0,"ㅡ익명제보ㅡ

종합정보시스템으로 군휴학 신청했는데요 무슨 확인전화나 문자가 안오는데 정상인가요?"
7,2017-05-31 17:14:39,2,"ㅡ신소연님 제보ㅡ

이 카드 주웠다고 올려주신분 ㅠ ㅠ 연락부탁드릴게요 !! 댓글달았었는데 연락없으셔서 계속기다리고있어요 :] 신소연 :] 연락이안와요ㅠㅠ제카드집나간지한달째에요 :] 연락주세여여ㅕㅠ유ㅠㅍ퓨ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ :] 용휘 너꺼랑 같은카두야 :] 팔렸습니다."
8,2017-05-31 17:13:53,0,"ㅡ익명제보ㅡ

유정교수님 교양수업 오늘 결석해서그런데 과제 제출은 언제까지 인가요?? 자소서랑 이력서랑 진로계획서이 세가지요ㅠㅠ :] 다음주용"
9,2017-05-31 16:12:21,33,"ㅡ익명제보ㅡ

다름이 아니라 모든 학생 분들이 그러신건 아니겠지만 부탁드리고 싶은 부분이 있어서요~

저는 서일대 주변 거주민인데요~ 학생분들이 마을버스에서 너무 크고 시끄럽게 떠드는 경우를 매우 자주 경험해서요 ㅜㅜ

조용히해달라는 것은 아니고 옆사람하고 얘기하는 정도는 이해하지만 맨앞, 맨뒤 사람이 고래고래 소리지르며 대화하고 서있는 사람들 너머로 건너편에 앉은 분들끼리 소리지르며 대화하는 모습들이요..

학교 셔틀버스도 아니고 다 큰 성인들이니까 조금만 예절을 지켜주시면 감사하겠습니다 ㅜㅜ :] 용휘 조용히해,,"
